中왕이 "센카쿠열도서 어선 빼자" 제안에 日 "수용 불가"	2020.11.26. 오후 6:37	가토 관방 "센카쿠는 고유영토…영유권 문제 존재하지 않아"   (도쿄=연합뉴스) 김호준 특파원 = 왕이(王毅) 중국 외교담당 국무위원 겸 외교부장이 센카쿠(尖閣·중국명 댜오위다오<釣魚島>)열도 주변 해역에 어선을 넣지 말자고 제안한 것에 대해 가토 가쓰노부(加藤勝信) 일본 관방장관은 수용할 수 없다며 거부했다.  일본 정부 대변인인 가토 관방장관은 26일 오후 정례 기자회견에서 왕 외교부장이 전날 센카쿠에서 어선을 빼자고 제안한 것에 대한 일본 정부의 견해를 묻자 "일본 정부로서는 전혀 받아들일 수 없는 것"이라고 답변했다.  취재진 인터뷰 답하는 왕이 중국 외교부장 (도쿄 교도=연합뉴스) 왕이(王毅) 중국 외교담당 국무위원 겸 외교부장이 지난 25일 오후 일본 총리관저에서 기자들의 취재에 응하고 있다. 2020.11.26 photo@yna.co.kr   앞서 왕 외교부장은 전날 도쿄 총리관저에서 스가 요시히데(菅義偉) 일본 총리를 예방한 직후 취재진에 센카쿠 문제에 대해 "어선이 반복해서 민감한 해역에 들어오고 있다"며 "이런 선박이 들어오지 않게 하는 것이 매우 중요하다"고 말했다.  일본이 실효적으로 지배하고 있는 센카쿠열도는 중국과 일본 사이의 영유권 분쟁 지역이다.  중국 관공선이 간혹 행정구역상 오키나와(沖繩)현에 속한 센카쿠열도 주변 일본 영해를 침범해 양국 사이의 외교 문제가 되고 있다.  왕 외교부장은 양측이 센카쿠열도 주변 해역에 관공선 이외 어선은 들어오지 못하게 해 사태를 개선하자고 제안했다고 교도통신은 전했다.  그러나 일본 정부는 센카쿠열도는 일본의 고유 영토로 영유권 분쟁이 존재하지 않으며, 중국 관공선의 영해 침범은 중단돼야 한다는 입장이다.  가토 일본 관방장관 [도쿄 로이터=연합뉴스 자료사진] 2020.09.16   가토 관방장관은 이날 기자회견에서 "나 자신도 (어제) 왕이 국무위원과의 회담에서 센카쿠 주변 해역에서의 중국 관공선 활동에 대한 우려를 전달하고 중국 측의 구체적인 행동을 요구했다"고 밝혔다.  그는 "센카쿠열도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 우리나라의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 센카쿠를 둘러싼 영유권 문제는 애초에 존재하지 않는다"며 "일본 어선이 우리 법령에 따라 활동하는 데는 아무런 문제가 없다"고 밝혔다. (취재보조: 데라사키 유카 통신원)  hojun@yna.co.kr  ▶코로나19 속보는 네이버 연합뉴스[구독 클릭] ▶[팩트체크] ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
1	니네나 우리나라 서해안에서 불법어조 하는 애들한테 제재나 가하세요 저러니 모든국가가 중국을 싫어하는거지	6.10852445677817	1.5849625007211563	1.0
1	중국은 동물 원숭이보다 사악함 ㅇㅇ	1.0	0.0
2	반일, 친중 사대 문재앙 정부는 나라를 짱깨에 통으로 상납하려 작정한 듯........ 이걸 막을 방법이 없단 말인가?..... 정말 한심해서 말이 안나온다.....	6.357552004618085	4.523561956057013	3.1699250014423126
3	실효적 지배하는 센가쿠열도가 일본영토라면 독도도 마찬가지 논리로 우리나라 영토임.	4.754887502163469	1.0	1.5849625007211563
4	일본은 중국어선문제에대해 중국에게 당당하게 대처하는데 문재인 넌 왜 서해를 약탈하는 중국어선에 항의하지 않냐?	3.9068905956085187	0.0	0.0
5	중국이랑 일본이면 일본 응원해야지ㅋㅋㅋㅋㅋ	2.0	1.0	0.0
6	일본인들의 기개는  정말  부럽다...... 자기 민족의  약자에게만  드센 기개를??? (갑질)  드높이는  어느 민족과는  정말  다른  DNA다.   짱개 잡는 매는  미국과, 아시아에서는   일본뿐이다......우라야마시이요  니폰, 니혼진..... 오늘도  문죄앙과  간경화는  짱개  개왕이에게  조롱과  수모를 당하더구만.  강하고  당당한  일본,  일본 사람들  민족성이  너무  부럽습니다.  입만  기개가  드센 조선인들,  행동으로  더욱 강한  기개를  보여주는 일본인들,  강한자에게  언제나 깨갱이다.	2.0	1.0	1.5849625007211563
7	와우..가토가 한말 그대로 일본에 해주고 싶네요.."독도는 역사적으로 의심의 여지가 없는 우리나라의 고유 영토이므로 영유권 문제는 애초에 존재하지 않는다"라고..	1.5849625007211563	0.0	1.0
8	일본은 중국에게 할말은 당당히 합니다 .. 우리나라의 문대퉁령이라면 어떡했을까요?	1.5849625007211563	1.0	0.0
9	그럼 독도는 니들꺼라고 우기지마	1.0	0.0	0.0
10	침몰시켜라..	1.0	0.0	1.0
11	민폐국가 둘이서 옆차기허고 자빠졌네! 잡것아 대마도는 우리땅이닷!!!	1.0	0.0	0.0
12	독도 한국 땅 인정 발언이네 ㅋㅋㅋ	1.0	0.0	0.0
13	짱깨 시다바리 왕이란넘이 왔다는데 문쩝쩝이는 뇌가어떻게된거아니야?  지난번중국갔을때 중국서열19위가 쩝쩝이어깨두드린거 생각이안나나보지 또라이아닌가  그렇게 국가망신을시켜놓고도 그자를초청하다니  국민들은 분통터진다  어서 돌려보내라	1.0	0.0	0.0
14	이놈이나 저놈이나..ㅉㅉ	1.0	0.0	0.0
15	문제앙이는 왕이 만나면서 희죽희죽되는데 일본은 당당히 맞서는구나. 쪽팔리다 문제앙. 어휴	1.5849625007211563	1.5849625007211563	0.0
16	서해안      불법조업        중국어선발포하여        자주권      찾자왕서방       어떠냐	0.0	0.0	0.0
17	독도는?	0.0	0.0	0.0
18	울릉도 동남쪽 뱃길따라 200리 외로운 섬하나 새들에고향 그누가 아무리 자기네 땅이라고 우겨도 독도는 일본땅 일본땅 ! ㅋㅋㅋ	0.0	0.0	0.0
19	대략 짱개들 어선은 안넣는데 쌍끌이는 넣을 거라는 뜻	0.0	0.0	0.0
20	중국은 영토문제가 없는 국가가 대체 어디야? 모든 나라와 영토문제가 있고 자기네꺼라고 우기는 마인드 자체가 이해가 안가네	0.0	0.0	0.0
21	근데 니들은 왜 독도갖고 ㅈ ㄹ 이야	0.0	0.0	0.0
22	독도는 대한민국 땅땅땅	0.0	0.0	0.0
23	중공짱깨들은 곧 무너진다. 대만이 본토를 먹는 날까지! 대만 만세!	0.0	0.0	0.0
24	대마도나  내놔	0.0	0.0	0.0
25	센카쿠는 일본 영토인데.. 이새퀴들 내정간섭 장난 아니네	0.0	0.0	0.0
26	그러면 앞으로 일본 느그들도 독도에 대해서입도 빵긋하지 마라	0.0	0.0	0.0
27	독도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 한국의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 독도를 둘러싼 영유권 문제는 애초에 존재하지 않는다. - 이 말도 진지하게 들어주면 니 소리도 진지하게 들어주마. ㅋ	0.0	0.0	0.0
28	옛날 일본이 우리나라에 제안했던 방법을 중국이 그대로 똑같이 하네.이제는 다음에는 중국이 옛날부터 잡던 고기가 있다고 말하면서 약올리기 하겠네.우리나라 강치처럼 지거라고 우기게 동물하나 잡아서 우기는 시점이네.	0.0	0.0	0.0
29	왕이 저 뱀같은 새1키는 시비걸러 왔나 ㅋㅋ	0.0	0.0	0.0
30	문재인씨 뭐 하는 인간이야	0.0	0.0	0.0
31	독도랑 마찬가지로 센카쿠는 특정 국가의 명확한 영토	0.0	0.0	0.0
32	짱깨 없어져야함	0.0	0.0	0.0
33	ㅋㅋ 독도는 한 국 땅이라고 말하네.. 븅  웅신	0.0	0.0	1.0
34	미국중국 줄타기하며 아슬아슬 버티는 문재인....그런걸 나라 공산화한다고 난리치는  꼴통들....개 돼지....처먹처먹....생각없는넘들....사라지라......	0.0	0.0	0.0
35	아주 옳은 말을 햇구려!!	0.0	0.0	0.0
36	어떻게 고유 영토냐 대만 영토지 대만에 넘겨라 그리고 대만이 미해군이랑 같이 지키면 된다	0.0	0.0	0.0
37	중국이 쪽바리들에게 꿀밤 한대 시게 때렸으면 좋겠다.	0.0	0.0	0.0
38	독도는 역사적으로도, 국제법적으로도 의심의 여지가 없는 우리나라의 고유 영토이며 현재 우리나라가 유효하게 지배하고 있어 독도를 둘러싼 영유권 문제는 애초에 존재하지 않는다	0.0	0.0	0.0
39	일본의 발언은 우리의 독도를 인정하는 발언이다, 독도를 공개적으로 인정한다면 나도 일본을 지지한다.	0.0	0.0	0.0
40	2차대전 승전국의 노획물, 돌려 주는게 맞는것 같다, 하지만 장깨들은 민주주의를 모르니 족바리 느덜이 알아서 조치해라.	0.0	0.0	0.0
41	왕이야 일본놈들은 고래 잡아먹어야댄데   세계유일하게 고래 잡아 쳐먹는 애들하고 놀지마라 그냥 없애야할 후지산 원생이족일뿐이다!!!	0.0	0.0	0.0
42	우리나라는 중국에게 일본처럼 저런 단호한말은 못하지..	0.0	0.0	0.0
43	간단한데 문제처리...미국에게 줘버려 그럼끝나	0.0	0.0	0.0
44	저렇게 말하고서 중국어선은 불법 조업하겠지?그리고 우리가 손쓸 방법 없다고 배째라하겠지.우리 서해안에서 불법 조업하는 것처럼.쟤네 뻔해 개양아치들	0.0	0.0	0.0
45	남중국해에 대한 중국의 주장은 무력을 이용한 억지에 가깝다. 하나 독도는 말할 것도 없고, 센칸쿠열도는 미국을 뒷배경으로 한 일본의 억지이다. 이것은 중국이 통일되지 못해서이다. 만약 모택동이 아닌 장개석이 중국을 통일했다면 센카쿠열도는 중국땅이 되었을 것이고, 한반도도 대한민국으로 통일되고, 오키나와도 류쿠로 독립되었을 것이다.	1.0	1.5849625007211563	0.0
46	서해에 들어오는 14억 미개도국 우한폐렴 바퀴벌레 싹 다 어선채로 미사일로 격침 및 기관총으로 도살시켜버려야 한다	0.0	1.0	0.0
47	일본 고유의 영토는 결코 아니죠. 현 시점에서 시정권을 행사하고 있을 뿐이죠.	2.584962500721156	3.0	0.0
48	어선에 기관포 날리고 섬은 미사일로 날려서 없애버리는 방법이 최고일듯 둘이 한판 붙어라 무기는 우리가 팔테니까	1.5849625007211563	2.321928094887362	0.0
49	일본 화이팅 오키나와 제도랑 같은 경도인데 당연히 일본땅	0.0	1.5849625007211563	0.0
